date,row_index,prediction,truth,error,ensemble_probability,w_old,w_medium,w_recent,drift_detected
2020-11-19,221,1,1,0,0.7182796283304691,0.3333,0.3333,0.3333,False
2020-11-20,222,0,1,1,0.4592439992845058,0.3333,0.3333,0.3333,False
2020-11-23,223,0,1,1,0.4456105121880769,0.3333,0.3333,0.3333,False
2020-11-24,224,0,1,1,0.4424884251773357,0.3333,0.3333,0.3333,False
2020-11-25,225,1,1,0,0.7649577748060227,0.3333,0.3333,0.3333,False
2020-11-26,226,0,1,1,0.44764433218985794,0.3333,0.3333,0.3333,False
2020-11-27,227,1,1,0,0.6943372674107552,0.3333,0.3333,0.3333,False
2020-12-01,228,0,1,1,0.46470669549107546,0.3333,0.3333,0.3333,False
2020-12-02,229,1,1,0,0.5272415884494781,0.3333,0.3333,0.3333,False
2020-12-03,230,1,1,0,0.5404376907348633,0.3333,0.3333,0.3333,False
2020-12-04,231,0,1,1,0.43876406614556906,0.3333,0.3333,0.3333,False
2020-12-07,232,0,1,1,0.34061566275916993,0.3333,0.3333,0.3333,False
2020-12-08,233,0,1,1,0.37449961688518524,0.3333,0.3333,0.3333,False
2020-12-09,234,0,1,1,0.3299313532322645,0.3333,0.3333,0.3333,False
2020-12-10,235,0,1,1,0.24053121349588036,0.3333,0.3333,0.3333,False
2020-12-11,236,0,1,1,0.1423132944524288,0.3333,0.3333,0.3333,False
2020-12-14,237,0,0,0,0.2661269114501774,0.3333,0.3333,0.3333,False
2020-12-15,238,0,0,0,0.3364440739586949,0.3333,0.3333,0.3333,False
2020-12-16,239,0,0,0,0.2274253901800141,0.3333,0.3333,0.3333,False
2020-12-17,240,0,1,1,0.2532886694647372,0.3333,0.3333,0.3333,False
2020-12-18,241,0,1,1,0.23595564618855713,0.3333,0.3333,0.3333,False
2020-12-21,242,1,1,0,0.7739912665843963,0.3333,0.3333,0.3333,False
2020-12-22,243,1,1,0,0.6940962552979588,0.3333,0.3333,0.3333,False
2020-12-23,244,1,1,0,0.7245048599034548,0.3333,0.3333,0.3333,False
2020-12-24,245,1,1,0,0.7990593473196029,0.3333,0.3333,0.3333,False
2020-12-28,246,1,1,0,0.5163494620352983,0.3333,0.3333,0.3333,False
2020-12-29,247,0,1,1,0.49608531338274475,0.3333,0.3333,0.3333,False
2020-12-30,248,0,1,1,0.3447929283343255,0.3333,0.3333,0.3333,False
